Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Product rating count (product.metafields.reviews.rating_count),Closure type (product.metafields.shopify.closure-type),Color (product.metafields.shopify.color-pattern),Shoe features (product.metafields.shopify.shoe-features),Shoe size (product.metafields.shopify.shoe-size),Sneaker style (product.metafields.shopify.sneaker-style),Toe style (product.metafields.shopify.toe-style),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Rwanda,Price / Rwanda,Compare At Price / Rwanda,Status
new-balance-1906r-1,New Balance 1906R,"<p><meta charset=""utf-8""><meta charset=""utf-8""><span>The 1906R, like its cousins the 2002R and the 860v2, is led by a sole unit featuring a combination of flexible ACTEVA LITE cushioning, shock absorbing N-ergy, and segmented ABZORB SBS pods at the heel. This hi-tech approach is also reflected in the 1906R’s upper design, which features open-holed mesh and a series of curvilinear synthetic overlays. This distinctive take on the era’s design conventions offers a refined execution of high-performance heritage.</span><br></p>",iwanyu.store,Apparel & Accessories > Shoes > Sneakers,"","",true,Shoe size,39,product.metafields.shopify.shoe-size,,,,,,,,0.0,shopify,5,deny,manual,37000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/m1906rer_nb_02_i.webp?v=1746569363,1,"",false,,,,,,,,,,,,,,1,lace-up,black,breathable-design,39; 40; 41; 42; 43; 44; 45,athletic,round,,kg,,,true,,,active
new-balance-1906r-1,,,,,,,,,40,,,,,,,,,0.0,shopify,5,deny,manual,37000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/m1906rer_nb_05_i.webp?v=1746569375,2,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
new-balance-1906r-1,,,,,,,,,41,,,,,,,,,0.0,shopify,5,deny,manual,37000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/m1906rer_nb_07_i.webp?v=1746569389,3,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
new-balance-1906r-1,,,,,,,,,42,,,,,,,,,0.0,shopify,5,deny,manual,37000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/m1906rer_nb_06_i.webp?v=1746569397,4,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
new-balance-1906r-1,,,,,,,,,43,,,,,,,,,0.0,shopify,5,deny,manual,37000,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
new-balance-1906r-1,,,,,,,,,44,,,,,,,,,0.0,shopify,5,deny,manual,37000,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
new-balance-1906r-1,,,,,,,,,45,,,,,,,,,0.0,shopify,5,deny,manual,37000,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
new-balance-1906r,New Balance 1906R,"<p><meta charset=""utf-8""><meta charset=""utf-8""><span>The 1906R, like its cousins the 2002R and the 860v2, is led by a sole unit featuring a combination of flexible ACTEVA LITE cushioning, shock absorbing N-ergy, and segmented ABZORB SBS pods at the heel. This hi-tech approach is also reflected in the 1906R’s upper design, which features open-holed mesh and a series of curvilinear synthetic overlays. This distinctive take on the era’s design conventions offers a refined execution of high-performance heritage.</span><br></p>",iwanyu.store,Apparel & Accessories > Shoes > Sneakers,"","",true,Shoe size,39,product.metafields.shopify.shoe-size,,,,,,,,0.0,shopify,5,deny,manual,37000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/m1906ree_nb_02_i.webp?v=1746569218,1,"",false,,,,,,,,,,,,,,,lace-up,black,breathable-design,39; 40; 41; 42; 43; 44; 45,athletic,round,,kg,,,true,,,active
new-balance-1906r,,,,,,,,,40,,,,,,,,,0.0,shopify,5,deny,manual,37000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/m1906ree_nb_05_i.webp?v=1746569230,2,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
new-balance-1906r,,,,,,,,,41,,,,,,,,,0.0,shopify,5,deny,manual,37000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/m1906ree_nb_04_i.webp?v=1746569244,3,"",,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
