Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
adidas-sambae-shoes,Adidas Sambae Shoes,These adidas Sambae shoes breathe new life into a classic with a modernized perspective.,TechStore Rwanda,Apparel & Accessories > Shoes > Sneakers,,"adidas, variants, imported",true,Size,39,,,,,,,,,0.0,shopify,3,deny,manual,33000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/Sambae_Shoes_Black_JI1350_01_standard.jpg?v=1746568290,1,,false,,,active
adidas-sambae-shoes,,,,,,,,Size,40,,,,,,,,,0.0,shopify,3,deny,manual,33000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/Sambae_Shoes_Black_JI1350_02_standard_hover.jpg?v=1746568307,2,,,,,active
adidas-sambae-shoes,,,,,,,,Size,41,,,,,,,,,0.0,shopify,3,deny,manual,33000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/Sambae_Shoes_Black_JI1350_03_standard.jpg?v=1746568321,3,,,,,active
adidas-sambae-shoes,,,,,,,,Size,42,,,,,,,,,0.0,shopify,3,deny,manual,33000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/Sambae_Shoes_Black_JI1350_06_standard.jpg?v=1746568341,4,,,,,active
adidas-sambae-shoes,,,,,,,,Size,43,,,,,,,,,0.0,shopify,3,deny,manual,33000,,true,true,,,5,,,,,active
adidas-sambae-shoes,,,,,,,,Size,44,,,,,,,,,0.0,shopify,3,deny,manual,33000,,true,true,,,6,,,,,active
adidas-sambae-shoes,,,,,,,,Size,45,,,,,,,,,0.0,shopify,3,deny,manual,33000,,true,true,,,7,,,,,active
jordan-sneakers,Jordan Sneakers,Premium Jordan basketball sneakers with authentic design,TechStore Rwanda,Apparel & Accessories > Shoes > Sneakers,,"jordan, variants, imported",true,Size,41,,,,,,,,,0.0,shopify,4,deny,manual,35000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/B1BC3745-F1D8-4BE3-95C4-97EF33FE6807.jpg?v=1746553276,1,,false,,,active
jordan-sneakers,,,,,,,,Size,42,,,,,,,,,0.0,shopify,4,deny,manual,35000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/2FF8CF9B-48CF-4B0F-87D6-BB0C7530913B.jpg?v=1746553276,2,,,,,active
jordan-sneakers,,,,,,,,Size,43,,,,,,,,,0.0,shopify,4,deny,manual,35000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/DF6E41CA-8FA9-4AB9-8599-F7DAFDC93563.jpg?v=1746553276,3,,,,,active
jordan-sneakers,,,,,,,,Size,44,,,,,,,,,0.0,shopify,4,deny,manual,35000,,true,true,,,4,,,,,active
new-balance-1906r,New Balance 1906R,"The 1906R features a combination of flexible ACTEVA LITE cushioning, shock absorbing N-ergy, and segmented ABZORB SBS pods at the heel.",TechStore Rwanda,Apparel & Accessories > Shoes > Sneakers,,"new-balance, variants, imported",true,Size,39,,,,,,,,,0.0,shopify,5,deny,manual,37000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/m1906rer_nb_02_i.webp?v=1746569363,1,,false,,,active
new-balance-1906r,,,,,,,,Size,40,,,,,,,,,0.0,shopify,5,deny,manual,37000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/m1906rer_nb_05_i.webp?v=1746569375,2,,,,,active
new-balance-1906r,,,,,,,,Size,41,,,,,,,,,0.0,shopify,5,deny,manual,37000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/m1906rer_nb_07_i.webp?v=1746569389,3,,,,,active
new-balance-1906r,,,,,,,,Size,42,,,,,,,,,0.0,shopify,5,deny,manual,37000,,true,true,,https://cdn.shopify.com/s/files/1/0748/5076/2982/files/m1906rer_nb_06_i.webp?v=1746569397,4,,,,,active
new-balance-1906r,,,,,,,,Size,43,,,,,,,,,0.0,shopify,5,deny,manual,37000,,true,true,,,5,,,,,active
new-balance-1906r,,,,,,,,Size,44,,,,,,,,,0.0,shopify,5,deny,manual,37000,,true,true,,,6,,,,,active
new-balance-1906r,,,,,,,,Size,45,,,,,,,,,0.0,shopify,5,deny,manual,37000,,true,true,,,7,,,,,active
